id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/15970.jpg
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/39386.jpg
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/59263.jpg
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/21379.jpg
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/53759.jpg
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/1855.jpg
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/30805.jpg
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/26960.jpg
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/29114.jpg
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/30039.jpg
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/9204.jpg
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/48123.jpg
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/18653.jpg
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/47957.jpg
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/46885.jpg
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/12369.jpg
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/29928.jpg
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/42419.jpg
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/51832.jpg
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/47359.jpg
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/17429.jpg
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/12967.jpg
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/6842.jpg
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/13089.jpg
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/18461.jpg
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/9036.jpg
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/48311.jpg
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/7990.jpg
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/56019.jpg
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/21977.jpg
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/37812.jpg
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,/kaggle/input/datasets/paramaggarwal/fashion-product-images-dataset/fashion-dataset/images/4729.jpg
